49
480 1536 320
310 23 720 112
311 24 752 112
312 23 784 112
313 24 816 112
314 23 848 112
315 24 880 112
316 23 912 112
317 24 944 112
318 23 976 112
319 24 1008 112
320 23 1040 112
321 24 1072 112
322 23 1104 112
323 24 1136 112
324 27 1168 112
325 28 1200 112
326 8 1232 112
327 8 1264 112
328 8 1296 112
329 25 1328 112
330 7 1360 112
331 8 1392 112
332 16 1424 112
333 11 1456 112
334 17 1488 112
335 8 1520 112
336 29 16 80
337 30 48 80
338 31 80 80
339 32 112 80
340 8 144 80
341 8 176 80
342 29 208 80
343 30 240 80
344 29 272 80
345 30 304 80
346 8 336 80
347 8 368 80
348 29 400 80
349 30 432 80
350 8 464 80
351 8 496 80
352 29 528 80
353 30 560 80
354 31 592 80
355 32 624 80
356 8 656 80
357 8 688 80
358 29 720 80
359 30 752 80
360 29 784 80
361 30 816 80
362 8 848 80
363 8 880 80
364 29 912 80
365 30 944 80
366 8 976 80
367 8 1008 80
368 8 1040 80
369 8 1072 80
370 8 1104 80
371 8 1136 80
372 31 1168 80
373 32 1200 80
374 8 1232 80
375 8 1264 80
376 8 1296 80
377 25 1328 80
378 33 1360 80
379 8 1392 80
380 25 1424 80
381 34 1456 80
382 12 1488 80
383 8 1520 80
384 35 16 48
385 36 48 48
386 37 80 48
387 38 112 48
388 39 144 48
389 39 176 48
390 35 208 48
391 36 240 48
392 35 272 48
393 36 304 48
394 39 336 48
395 39 368 48
396 35 400 48
397 36 432 48
398 39 464 48
399 39 496 48
400 35 528 48
401 36 560 48
402 37 592 48
403 38 624 48
404 39 656 48
405 39 688 48
406 35 720 48
407 36 752 48
408 35 784 48
409 36 816 48
410 39 848 48
411 39 880 48
412 35 912 48
413 36 944 48
414 39 976 48
415 39 1008 48
416 39 1040 48
417 39 1072 48
418 40 1104 48
419 41 1136 48
420 37 1168 48
421 38 1200 48
422 42 1232 48
423 43 1264 48
424 44 1296 48
425 45 1328 48
426 46 1360 48
427 8 1392 48
428 46 1424 48
429 47 1456 48
430 17 1488 48
431 8 1520 48
432 48 16 16
433 48 48 16
434 48 80 16
435 48 112 16
436 48 144 16
437 48 176 16
438 48 208 16
439 48 240 16
440 48 272 16
441 48 304 16
442 48 336 16
443 48 368 16
444 48 400 16
445 48 432 16
446 48 464 16
447 48 496 16
448 48 528 16
449 48 560 16
450 48 592 16
451 48 624 16
452 48 656 16
453 48 688 16
454 48 720 16
455 48 752 16
456 48 784 16
457 48 816 16
458 48 848 16
459 48 880 16
460 48 912 16
461 48 944 16
462 48 976 16
463 48 1008 16
464 48 1040 16
465 48 1072 16
466 48 1104 16
467 48 1136 16
468 48 1168 16
469 48 1200 16
470 48 1232 16
471 48 1264 16
472 48 1296 16
473 48 1328 16
474 48 1360 16
475 48 1392 16
476 48 1424 16
477 48 1456 16
478 48 1488 16
479 48 1520 16
0 0 1536 1536
1 0 1536 768
2 768 1536 768
3 0 768 768 455 454 453 452 451 450 449 448 447 446 445 444 443 442 441 440 439 438 437 436 435 434 433 432 407 406 405 404 403 402 401 400 399 398 397 396 395 394 393 392 391 390 389 388 387 386 385 384 359 358 357 356 355 354 353 352 351 350 349 348 347 346 345 344 343 342 341 340 339 338 337 336 311 310 309 308 307 306 305 304 303 302 301 300 299 298 297 296 295 294 293 292 291 290 289 288 263 262 261 260 259 258 257 256 255 254 253 252 251 250 249 248 247 246 245 244 243 242 241 240 215 214 213 212 211 210 209 208 207 206 205 204 203 202 201 200 199 198 197 196 195 194 193 192 167 166 165 164 163 162 161 160 159 158 157 156 155 154 153 152 151 150 149 148 147 146 145 144 119 118 117 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101 100 99 98 97 96 71 70 69 68 67 66 65 64 63 62 61 60 59 58 57 56 55 54 53 52 51 50 49 48 23 22 21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0
4 768 768 768 479 478 477 476 475 474 473 472 471 470 469 468 467 466 465 464 463 462 461 460 459 458 457 456 431 430 429 428 427 426 425 424 423 422 421 420 419 418 417 416 415 414 413 412 411 410 409 408 383 382 381 380 379 378 377 376 375 374 373 372 371 370 369 368 367 366 365 364 363 362 361 360 335 334 333 332 331 330 329 328 327 326 325 324 323 322 321 320 319 318 317 316 315 314 313 312 287 286 285 284 283 282 281 280 279 278 277 276 275 274 273 272 271 270 269 268 267 266 265 264 239 238 237 236 235 234 233 232 231 230 229 228 227 226 225 224 223 222 221 220 219 218 217 216 191 190 189 188 187 186 185 184 183 182 181 180 179 178 177 176 175 174 173 172 171 170 169 168 143 142 141 140 139 138 137 136 135 134 133 132 131 130 129 128 127 126 125 124 123 122 121 120 95 94 93 92 91 90 89 88 87 86 85 84 83 82 81 80 79 78 77 76 75 74 73 72 47 46 45 44 43 42 41 40 39 38 37 36 35 34 33 32 31 30 29 28 27 26 25 24
